id,artist,lastfm_artist_bio
439,Rage Against The Machine,"Rage Against the Machine was an American rock band from Los Angeles, California. Formed in 1991, the group consisted of vocalist Zack de la Rocha, bassist and backing vocalist Tim Commerford, guitarist Tom Morello, and drummer Brad Wilk. Their songs express revolutionary left-wing political views. As of 2010, they had sold over 16 million records worldwide. In 2023, the band was inducted into the Rock and Roll Hall of Fame.

Rage Against the Machine released its eponymous debut album in 1992 to commercial and critical success Read more on Last.fm"
440,Rainbow,"1. A British rock band.
2. A U.S. psychedelic rock band.
3. A K-pop girl group. (other tags include 레인보우)

1. Rainbow was a British rock band formed by Deep Purple founder and former guitarist Ritchie Blackmore in 1975. In addition to Blackmore, the band originally consisted of former Elf lead singer Ronnie James Dio, bassist Craig Gruber, drummer Gary Driscoll, and keyboardist Micky Lee Soule. Over the years, Rainbow went through many lineup changes. Read more on Last.fm"
441,Rammstein,"Rammstein (lit. ""ramming stone"") is a German Neue Deutsche Härte band formed in Berlin in 1994. The band's lineup—consisting of lead vocalist Till Lindemann, lead guitarist Richard Kruspe, rhythm guitarist Paul Landers, bassist Oliver Riedel, drummer Christoph Schneider, and keyboardist Christian ""Flake"" Lorenz—has remained unchanged throughout their history, along with their approach to songwriting, which consists of Lindemann writing and singing the lyrics over instrumental pieces the rest of the band has completed beforehand. Read more on Last.fm"
442,Ramones,"Ramones were a punk band that formed in Queens, New York, United States, in 1974. They are often cited as the first punk group. Despite achieving only limited commercial success, the band was a major influence on the punk movement both in the United States and the United Kingdom.

All of the band members adopted pseudonyms ending with the surname ""Ramone"", though none of them were related. They performed 2,263 concerts, touring virtually nonstop for 22 years. Read more on Last.fm"
443,Randy Travis,"Randy Travis (born Randy Bruce Traywick, May 4, 1959 in Marshville, North Carolina) is an American multiple Grammy Award and Dove Award-winning American country singer. Active since 1985, he has recorded more than a dozen studio albums to date, in addition to charting more than thirty singles on the Billboard Hot Country Songs charts.

Travis was born in Marshville, North Carolina, the second of six children of Bobbie, a textile factory worker, and Harold Traywick, a horse breeder, turkey farmer, and construction business owner. Read more on Last.fm"
444,Rascal Flatts,"Rascal Flatts was an American country rock/pop country band founded in Columbus, Ohio, USA. Since its inception, Rascal Flatts has been composed of three members: Gary LeVox (lead vocals), Jay DeMarcus (bass guitar, keyboards, vocals), and Joe Don Rooney (lead guitar, vocals). DeMarcus and LeVox are also second cousins.

Rascal Flatts has released six studio albums and a greatest hits album, all on Lyric Street Records. Their first two albums, 2000's Rascal Flatts and 2002's Melt Read more on Last.fm"
445,Ray Boltz,"Ray Boltz 
Birth name Ray Boltz 
Born: 1953 
Origin Muncie, Indiana, USA 
Genre(s) : Worship, Contemporary Christian 
Occupation(s): Singer-songwriter 
Years active 1990–present 
Website: Official Website RayBoltz.Com
In September 2008, Ray ""came out"" as a gay man but continues to minister in ""open and affirming"" churches.

Ray Boltz (born 1953 in Muncie, Indiana) is contemporary Christian music singer-songwriter, whose songs often tell stories of faith and inspiration. Read more on Last.fm"
446,Ray Charles,"Ray Charles (Ray Charles Robinson,  Albany, Georgia, September 23, 1930 - Beverly Hills, California, June 10, 2004), was an American singer-songwriter, musician, arranger, and band leader. 

As a rock and roll, rhythm & blues, soul, blues, jazz, country and pop musician he helped to shape the sound of rhythm & blues.

He brought a soulful sound to everything from country music (""I Can't Stop Loving You"") to rock and roll (""Mess Around""), to pop standards to a now-iconic rendition of ""America the Beautiful. Read more on Last.fm"
447,Reba Mcentire,"Reba Nell McEntire (born on March 28, 1955 - Kiowa, Oklahoma, USA) is a Grammy Award-winning singer and one of the best-selling country music performers of all time, known for her pop-tinged ballads that include 24 #1 hits. She has issued 28 studio albums and 13 compilations, with more than 50 million records sold as of 2007.

With a contract to Mercury Records (1975), McEntire began her professional career singing heavily pop-influenced ballads, a far cry from the neotraditionalist movement she would help lead a few years later. Read more on Last.fm"
448,Red Hot Chili Peppers,"Red Hot Chili Peppers is an American alternative rock band formed in Los Angeles in 1982. Their music incorporates elements of alternative rock, funk, punk rock and psychedelic rock. The band consists of co-founders Anthony Kiedis (lead vocals) and Flea (bass), as well as drummer Chad Smith, and guitarist John Frusciante, the latter of whom has been in the band across three stints. With over 100 million records sold worldwide, Red Hot Chili Peppers is one of the best-selling bands of all time. Read more on Last.fm"
449,Regine Velasquez,"Regina Encarnacion Ansong Velasquez (born April 22, 1970), nicknamed Asia's Songbird, is a multi-awarded Filipino singer and actress.

Velasquez is well-known for her belting prowess which has been noted for its incredible range, power, technical ability and also for her versatility and reinvention. She possesses a 5-6 octave vocal range and is classified as a Lyric Coloratura Soprano. She has received critical acclaim and commercial success for her singing, hosting and acting endeavors. Read more on Last.fm"
450,Religious Music,Read more on Last.fm
451,Rem,"""Rem"" may refer to:
1. A Malay singer
2. An incorrect tag for R.E.M.

1. Rem was a Malay pop singer who released three albums: ""Rem"" in 1997, ""Impian Cinta"" in 1999, and ""Setiap Waktu"" in 2002. Read more on Last.fm"
452,Reo Speedwagon,"REO Speedwagon (originally styled as R.E.O. Speedwagon) is an American rock band from Champaign, Illinois. Formed in 1967, the band cultivated a following during the 1970s and achieved significant commercial success throughout the 1980s. Hi Infidelity (1980) contained four US Top 40 hits and is the group's best-selling album, with over ten million copies sold.

Over the course of its career, the band has sold more than 40 million records and has charted thirteen Top 40 hits Read more on Last.fm"
453,Richard Marx,"Richard Noel Marx (born September 16, 1963 in Chicago, Illinois) is a singer-songwriter best known for his adult contemporary music. He had a string of successful hit singles in the late 80s and early 90s such as ""Right Here Waiting,"" ""Hazard,"" and ""Hold on to the Nights."" Although most of his successful songs are slow ballads like these, many of his songs have an upbeat, classic rock style, examples being ""Don't Mean Nothing,"" ""Should've Known Better,"" ""Satisfied,"" and ""Wait for the Sunrise"". Read more on Last.fm"
454,Rick Astley,"Richard Paul Astley (born February 6, 1966) is an English dance-pop singer, songwriter and musician. He was born in Newton-le-Willows, St Helens, Lancashire, England. Astley currently resides in Richmond, Surrey with his Danish girlfriend, Lene Bausager, and their daughter, Emilie.

In 1985, Astley was playing the club circuit as a singer with a soul band named FBI, when he was seen by the record producer Pete Waterman and persuaded to come to London to work at the PWL recording studio. Read more on Last.fm"
455,Rihanna,"Robyn Rihanna Fenty (born February 20, 1988), professionally known mononymously as Rihanna, is a Barbadian singer, songwriter, actress, businesswoman, entrepreneur and fashion designer.

She has attained fourteen Billboard Hot 100 number ones thus far and is the second Barbadian artist to win a Grammy Award. She is also a cultural ambassador for Barbados. In 2021 Rihanna was named a ""National Hero"" in her home country, earning her the title ""The Right Excellent.""  Read more on Last.fm"
